_id,name,price,location,availableSpaces,subcategory,category,description,nestedField.availableSpaces
673ef4175d43fb8fb1cab231,Intro to Machine Learning,950,Malta,5,Machine Learning,Data Science,"Intro to Machine Learning in the category of Data Science. Courses covering data analysis, machine learning, and AI.",5
673ef4175d43fb8fb1cab232,SEO Optimization Basics,600,Mauritius,5,SEO Optimization,Digital Marketing,"SEO Optimization Basics in the category of Digital Marketing. Courses on SEO, social media marketing, and content strategy.",5
673ef4175d43fb8fb1cab233,Financial Modeling,700,Dubai,5,Financial Modeling,Business Analytics,Financial Modeling in the category of Business Analytics. Classes on data interpretation and decision-making for businesses.,5
673ef4175d43fb8fb1cab234,Yoga & Mindfulness,300,Malta,5,Yoga & Mindfulness,Health & Wellness,Yoga & Mindfulness in the category of Health & Wellness. Programs focused on mental and physical wellness practices.,5
673ef4175d43fb8fb1cab235,Spanish Language Basics,400,Mauritius,5,Spanish Language,Language Learning,"Spanish Language Basics in the category of Language Learning. Classes in various languages including Spanish, French, and Japanese.",5
673ef4175d43fb8fb1cab236,French Language for Beginners,400,Malta,5,French Language,Language Learning,"French Language for Beginners in the category of Language Learning. Classes in various languages including Spanish, French, and Japanese.",5
673ef4175d43fb8fb1cab237,Python Fundamentals,500,Mauritius,5,Python Programming,Coding Bootcamps,Python Fundamentals in the category of Coding Bootcamps. Intensive coding courses for beginners to advanced students.,5
673ef4175d43fb8fb1cab238,HTML & CSS for Beginners,300,Dubai,5,HTML & CSS Basics,Coding Bootcamps,HTML & CSS for Beginners in the category of Coding Bootcamps. Intensive coding courses for beginners to advanced students.,5
673ef4175d43fb8fb1cab239,React for Developers,650,Malta,5,React Development,Software Development,"React for Developers in the category of Software Development. Courses on full-stack, backend, and frontend development.",5
673ef4175d43fb8fb1cab23a,Node.js Backend Basics,600,Dubai,5,Backend with Node.js,Software Development,"Node.js Backend Basics in the category of Software Development. Courses on full-stack, backend, and frontend development.",5
673ef4175d43fb8fb1cab23b,Data Analysis with Python,700,Mauritius,5,Data Analysis,Data Science,"Data Analysis with Python in the category of Data Science. Courses covering data analysis, machine learning, and AI.",5
673ef4175d43fb8fb1cab23c,Agile Fundamentals,500,Dubai,5,Agile Methodologies,Project Management,Agile Fundamentals in the category of Project Management. Training on effective project planning and team coordination.,5
